,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
TCGA.CM.4750.01,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.AZ.6599.01,0.0,0.0,-0.16666666666666669,0.0,0.0,0.0,0.0,0.0,-0.16666666666666663,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.16666666666666674,-0.16666666666666674,0.0,0.0,0.0,0.0,0.0
TCGA.AD.6890.01,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.CM.6680.01,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666669,0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,-0.16666666666666674,-0.16666666666666674,-0.16666666666666674,-0.16666666666666674,-0.16666666666666674,-0.16666666666666674,0.0,0.0
TCGA.DM.A1D7.01,0.2,0.2,0.39999999999999997,0.39999999999999997,0.4,0.20000000000000007,0.20000000000000007,0.0,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,0.0,0.0,0.0,0.0
TCGA.DM.A28F.01,0.16666666666666666,0.16666666666666666,0.0,0.0,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,-0.3333333333333333,-0.5,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.5,-0.5,-0.5,-0.5
TCGA.G4.6588.01,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0,-0.028571428571428574,-0.028571428571428574,-0.028571428571428574,-0.028571428571428574,-0.028571428571428574,-0.028571428571428574,-0.028571428571428574,-0.028571428571428574,-0.028571428571428574,-0.05714285714285714,-0.08571428571428572,-0.1142857142857143,-0.1142857142857143,-0.1142857142857143,-0.1142857142857143
TCGA.D5.6537.01,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.0,0.0,0.0
TCGA.CM.6675.01,0.0,0.0,-0.25,-0.5,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.CM.6165.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.CM.6171.01,0.0,0.04,0.039999999999999994,0.0,0.0,0.04000000000000001,0.04000000000000001,0.0,-0.04000000000000001,0.0,-0.03999999999999998,-0.03999999999999998,-0.03999999999999998,-0.03999999999999998,-0.08000000000000002,-0.08000000000000002,-0.08000000000000002,-0.08000000000000002,-0.08000000000000002,-0.08000000000000002
TCGA.AY.6197.01,0.0,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,-0.07142857142857142,-0.14285714285714288,-0.14285714285714288,-0.14285714285714288,-0.21428571428571427,-0.21428571428571427,-0.21428571428571427,-0.21428571428571427
TCGA.CM.5344.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.AA.3662.01,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
TCGA.G4.6309.01,0.0,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,-0.07692307692307693,-0.07692307692307693,-0.07692307692307693,0.0
TCGA.CK.4952.01,0.0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337
TCGA.AU.6004.01,0.0,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,-0.043478260869565216,-0.08695652173913046,-0.08695652173913046,-0.13043478260869565,-0.13043478260869565,-0.13043478260869565,-0.1739130434782609,-0.1739130434782609,-0.1739130434782609
TCGA.AZ.6607.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.A6.2671.01,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.D5.5540.01,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.CM.5341.01,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.CM.4747.01,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0
TCGA.G4.6626.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,0.0,0.0,0.0,0.0
TCGA.D5.6929.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.CA.6718.01,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.12121212121212122,0.12121212121212122,0.09090909090909091,0.06060606060606061,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,-0.030303030303030304,-0.030303030303030304,-0.030303030303030304,-0.030303030303030304,-0.030303030303030304
TCGA.F4.6806.01,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25
TCGA.G4.6315.01,0.2,0.4,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.19999999999999996,0.20000000000000007,0.20000000000000007,0.20000000000000007,0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.CM.6170.01,0.0,0.3333333333333333,0.0,0.0,0.0,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.F4.6808.01,0.0,0.0,0.0,-0.19999999999999996,-0.19999999999999996,-0.4,-0.4,-0.4,-0.4,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,0.0,0.0,-0.19999999999999996,0.0,0.0
TCGA.G4.6307.01,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.AZ.4616.01,0.0,0.0,0.0,0.0,0.16666666666666674,0.16666666666666674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.G4.6297.01,0.0,0.16666666666666666,0.16666666666666669,0.3333333333333333,0.3333333333333333,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.16666666666666674,0.16666666666666674,0.16666666666666674,0.16666666666666674,0.16666666666666674
TCGA.F4.6569.01,0.0,0.3333333333333333,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.A6.5659.01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.0,0.0,0.1428571428571428
TCGA.AD.6888.01,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.AD.6965.01,0.0,0.0,0.0,-0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.AZ.4682.01,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.DM.A1HA.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.DM.A28K.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.CM.4752.01,0.16666666666666666,0.16666666666666666,0.16666666666666669,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666674,0.16666666666666674,0.0,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.AA.3712.01,0.0,0.0,0.0,0.0,0.0,-0.11111111111111116,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,-0.33333333333333337,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,-0.33333333333333326,-0.33333333333333326,-0.2222222222222222
TCGA.AZ.6600.01,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.F4.6854.01,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
